method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k4_h1,7,4.0,1.0,4.0,0.9954426919369609,1,0.0023452873103549936,4.0,1.0,4.0,480,120,0.007487311959266663,0.3915981937250303,0.19273676246164861,0.5964993496237101,0.44193057752599263,0.46445003520737205,0.8790387981357071
fixed_k4_h2,0,4.0,2.0,2.0,0.7218411507596351,1,0.14954764181152633,4.0,2.0,2.0,240,60,0.006478148512542248,0.41160010315178036,0.12069378141089558,0.2638959407806744,0.3739228904116346,0.44116441073329926,0.7789866346229926
fixed_k4_h2,1,4.0,2.0,2.0,0.854289116049114,1,0.07660329190915063,4.0,2.0,2.0,240,60,0.006655994802713394,0.3531997831948455,0.09418882199432686,0.20459648783319756,0.5284582668995864,0.4357379536904473,0.9148451770023786
fixed_k4_h2,2,4.0,2.0,2.0,0.8588143109952742,1,0.07417077873953047,4.0,2.0,2.0,240,60,0.007328091189265251,0.4189660414257336,0.13880625941154173,0.3317630829305901,0.4849632464217291,0.44643468608796555,0.9543672104406132
fixed_k4_h2,3,4.0,2.0,2.0,0.920028224544172,1,0.04161509520696641,4.0,2.0,2.0,240,60,0.006771045736968517,0.3477378218708677,0.09852443420440517,0.22769004281466138,0.536343950590372,0.49847928524396373,0.9333104268733391
fixed_k4_h2,4,4.0,2.0,2.0,0.8312450174502026,1,0.08904831103438832,4.0,2.0,2.0,240,60,0.007337052375078201,0.4469648734466358,0.1427885976861267,0.340087698852601,0.4162129602740295,0.4357512605044469,0.928807525077551
fixed_k4_h2,5,4.0,2.0,2.0,0.9362381292192303,1,0.03309898740870961,4.0,2.0,2.0,240,60,0.00653778575360775,0.4013040644973914,0.11762978809305881,0.2524408052355731,0.5655935358147139,0.48038684192560915,0.9346531874277562
fixed_k4_h2,6,4.0,2.0,2.0,0.3630820469678624,0,0.3708193307503218,4.0,2.0,2.0,240,60,0.006377252750098705,0.3962744575271466,0.10640031236011652,0.23871412248809448,0.4549450546414175,0.2901868933860702,nan
fixed_k4_h2,7,4.0,2.0,2.0,0.8215446277281174,1,0.0943164260576547,4.0,2.0,2.0,240,60,0.006541811861097813,0.35254763876603784,0.08871726670840437,0.20206119500096473,0.5381937790682014,0.5516536792124079,0.8294129359665798
fixed_k4_h4,0,4.0,4.0,1.0,0.7738180670258955,1,0.1205004950090194,4.0,4.0,1.0,120,30,0.006046337075531483,0.33644177029656896,0.04693718967915431,0.10127495967790262,0.37603857732841,0.4181029704181121,0.8226170541834521
fixed_k4_h4,1,4.0,4.0,1.0,0.9622790008207985,1,0.01950563599772299,4.0,4.0,1.0,120,30,0.006149180233478546,0.40131967932382123,0.07310905590581732,0.1706293819726692,0.4372254306805149,0.3633414339272056,0.8825314084101243
fixed_k4_h4,2,4.0,4.0,1.0,0.9849935373425499,1,0.007734261553399171,4.0,4.0,1.0,120,30,0.006084919907152653,0.5031611064906624,0.09787181319153956,0.2470575299735637,0.4438851910850948,0.43544004717504264,0.9625436236082987
fixed_k4_h4,3,4.0,4.0,1.0,0.8801939975160847,1,0.06272722886138055,4.0,4.0,1.0,120,30,0.006561671383678913,0.4022528894018542,0.07523285572321932,0.17207980380009863,0.49201739737580447,0.38737156745351753,0.8553119978204278
fixed_k4_h4,4,4.0,4.0,1.0,0.9950503955063774,1,0.0025473146073288003,4.0,4.0,1.0,120,30,0.006452049128711224,0.3906007850199887,0.07226879082538741,0.17135869885377025,0.4332422944460007,0.45058664542675253,0.888521050438901
fixed_k4_h4,5,4.0,4.0,1.0,0.8537516461417137,1,0.07689245251167096,4.0,4.0,1.0,120,30,0.006039733998477459,0.37886486715977996,0.05535400999279379,0.1370922366290226,0.4792658651013804,0.544117346438727,0.8442859795057295
fixed_k4_h4,6,4.0,4.0,1.0,0.7897855376898694,1,0.111690266556364,4.0,4.0,1.0,120,30,0.007269352674484253,0.3967291021041197,0.07059273141195374,0.1700752612495257,0.46261810978324325,0.5124600197225946,0.9031577470078365
fixed_k4_h4,7,4.0,4.0,1.0,0.9135013468541446,1,0.04505616691236625,4.0,4.0,1.0,120,30,0.006143438629806042,0.30515220832424944,0.03923022613483622,0.09617597806703192,0.4071243791741771,0.4865529462960963,0.8393492680136698
fixed_k4_h8,0,4.0,8.0,0.5,0.25586293827379997,0,0.4480552825093223,4.0,8.0,0.5,60,15,0.005805060267448425,0.33569415637967837,0.02776323322924023,0.05167952847069976,0.3406470077406662,0.37770099651483013,nan
fixed_k4_h8,1,4.0,8.0,0.5,0.5958332527743349,0,0.22259825035294736,4.0,8.0,0.5,60,15,0.005800403654575348,0.3240143057978992,0.027567971534076672,0.05464623292974978,0.5541513776304244,0.35971564117818927,nan
fixed_k4_h8,2,4.0,8.0,0.5,0.5427686991456404,0,0.2546586608450882,4.0,8.0,0.5,60,15,0.005792134441435337,0.2694040415576725,0.021566512754683416,0.04450808829338433,0.5624866386746122,0.31384519695151936,nan
fixed_k4_h8,3,4.0,8.0,0.5,0.7990032434205594,1,0.10662748382819076,4.0,8.0,0.5,60,15,0.005913953296840191,0.3365054715209427,0.0316035525005307,0.06773787408687658,0.5461436734586286,0.3807249580515906,0.8917895622386124
fixed_k4_h8,4,4.0,8.0,0.5,0.9654915540608014,1,0.01783601055186819,4.0,8.0,0.5,60,15,0.005897260271012783,0.2698546527837777,0.023831380084225248,0.04445872497507681,0.4324980802568893,0.45628861684209393,0.8620165957008944
fixed_k4_h8,5,4.0,8.0,0.5,0.9466953904528336,1,0.027627473261998027,4.0,8.0,0.5,60,15,0.005836508236825466,0.3921461532215234,0.03591191087876991,0.08437078052669492,0.468636816786189,0.388672493488763,0.9323853832458211
fixed_k4_h8,6,4.0,8.0,0.5,0.1460652153730326,0,0.5377866414276097,4.0,8.0,0.5,60,15,0.005679914727807045,0.2876234720970934,0.018696665247813247,0.03890817340253156,0.2530741091283199,nan,nan
fixed_k4_h8,7,4.0,8.0,0.5,0.9675526143555737,1,0.01676567391044532,4.0,8.0,0.5,60,15,0.005968473851680756,0.2856410931941272,0.024033354985539178,0.04804385823379803,0.3872648526588793,0.47653601127172623,0.8919942908479198
fixed_k8_h1,0,8.0,1.0,8.0,0.44452473242490625,0,0.3165129609482305,8.0,1.0,8.0,960,120,0.007110452279448509,0.3093981449595994,0.1195005590207141,0.3642958468460155,0.3655990735025184,0.35902398116193196,nan
fixed_k8_h1,1,8.0,1.0,8.0,0.6078686338227406,0,0.21544225380532855,8.0,1.0,8.0,960,120,0.007124421186745167,0.3001963127616283,0.11935515998915157,0.3576088938103772,0.4616645735985748,0.45926870262056735,nan
fixed_k8_h1,2,8.0,1.0,8.0,0.5393447232893367,0,0.256757367631177,8.0,1.0,8.0,960,120,0.007099979557096958,0.32740103061112075,0.12919076593691933,0.3774567514934678,0.4418806206417597,0.3333615098277689,nan
fixed_k8_h1,3,8.0,1.0,8.0,0.9291610172107242,1,0.03681182642258954,8.0,1.0,8.0,960,120,0.007145884446799755,0.2933001157631174,0.11205556930473191,0.34472365236521013,0.499951230614025,0.46756605519959776,0.8290055884954161
fixed_k8_h1,4,8.0,1.0,8.0,0.619625119868972,0,0.20849106764192415,8.0,1.0,8.0,960,120,0.007116835564374924,0.3078052075699534,0.1142925337640782,0.33565650920442364,0.44102442538821424,0.5211317527216361,nan
fixed_k8_h1,5,8.0,1.0,8.0,0.4033874756508026,0,0.3435514345186514,8.0,1.0,8.0,960,120,0.007080656476318836,0.2593927018524251,0.08969672077047783,0.2658653404809956,0.45271771380378667,0.3575562797957148,nan
fixed_k8_h1,6,8.0,1.0,8.0,0.3517818258442118,0,0.3786168613735968,8.0,1.0,8.0,960,120,0.007063550874590874,0.297894809533537,0.11173730447962052,0.3277127751060148,0.40030999058248784,0.270759695074156,nan
fixed_k8_h1,7,8.0,1.0,8.0,0.9052727707915299,1,0.049404429459617386,8.0,1.0,8.0,960,120,0.007146995514631271,0.2848651517737098,0.10384757970811109,0.3232575871870261,0.4330060837016876,0.4853688774282309,0.8821048738001399
fixed_k8_h2,0,8.0,2.0,4.0,0.5475406157516803,0,0.25174003856475136,8.0,2.0,4.0,480,60,0.006499547511339188,0.28363954948689574,0.055074003374062076,0.11596562377950385,0.38917434806196166,0.3726978991562086,nan
fixed_k8_h2,1,8.0,2.0,4.0,0.9898949110200965,1,0.005204437749448995,8.0,2.0,4.0,480,60,0.006576938554644585,0.24903124999185836,0.04855146911088051,0.10207069649529714,0.5398920138822045,0.48780603327405675,0.9432869531188919
fixed_k8_h2,2,8.0,2.0,4.0,0.9583469641270413,1,0.021551360036419536,8.0,2.0,4.0,480,60,0.0076387543231248856,0.3143612815842057,0.0783302962425019,0.17380495078579522,0.4608571384559426,0.43292338516017087,0.9167436756624874
fixed_k8_h2,3,8.0,2.0,4.0,0.8333756564166921,1,0.08789355563495287,8.0,2.0,4.0,480,60,0.006981952115893364,0.26626571910240937,0.05784752417706807,0.1283796767423771,0.540148746078251,0.3619149325026707,0.9241350142565096
fixed_k8_h2,4,8.0,2.0,4.0,0.8833189637666865,1,0.061061268959635935,8.0,2.0,4.0,480,60,0.006553874351084232,0.3208550022967587,0.08144532667125551,0.19023512589375408,0.4211202418725778,0.45791388200248806,0.8835318854322213
fixed_k8_h2,5,8.0,2.0,4.0,0.6747610789288758,0,0.1763782813029904,8.0,2.0,4.0,480,60,0.006362326443195343,0.2889982139653296,0.057653386650617505,0.12316314127748798,0.46453913201350794,0.3927230813907468,0.7545583541259112
fixed_k8_h2,6,8.0,2.0,4.0,0.1460652153730326,0,0.5377866414276097,8.0,2.0,4.0,480,60,0.0063411882147192955,0.2726626147315009,0.0481942345951868,0.10325405370867206,0.2530741091283199,nan,nan
