method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k2_h4,0,2.0,4.0,0.5,0.8170552535845791,1,0.0967605377833772,2.0,4.0,0.5,60,30,0.006034509278833866,0.46691721696270505,0.08694945600187744,0.18972112450409814,0.37323136651969707,0.39607739268722764,0.8531680836649288
fixed_k2_h4,1,2.0,4.0,0.5,0.9394694713199961,1,0.03140640872716551,2.0,4.0,0.5,60,30,0.006256044842302799,0.5585700509116781,0.13102080246647935,0.2947767344451131,0.43875454670363817,0.4890713369389372,0.8968058409436206
fixed_k2_h4,2,2.0,4.0,0.5,0.6624414064579767,0,0.18348645634652083,2.0,4.0,0.5,60,30,0.0072943419218063354,0.6622454291511158,0.17285482910010455,0.4121926181838957,0.512212898002901,0.5242184773755725,0.8908890126371534
fixed_k2_h4,3,2.0,4.0,0.5,0.9788314142998384,1,0.01091992585589664,2.0,4.0,0.5,60,30,0.00635660532861948,0.48909026872636296,0.1077432423726586,0.2528302455894474,0.5584116678387266,0.4993081674571229,0.9487893713535586
fixed_k2_h4,4,2.0,4.0,0.5,0.8146425796326536,1,0.09807563395652406,2.0,4.0,0.5,60,30,0.006683702580630779,0.5298860284044346,0.12636731396859727,0.32497772970582317,0.42793353351279145,0.4280938623486757,0.8634909015610857
fixed_k2_h4,5,2.0,4.0,0.5,0.8657095755169983,1,0.0704712652763695,2.0,4.0,0.5,60,30,0.006053077057003975,0.5110224659761151,0.09390579841657493,0.2169069859388132,0.38140636738666656,0.4052364658660061,0.8483713228683591
fixed_k2_h4,6,2.0,4.0,0.5,0.8813050600293602,1,0.06213471376790366,2.0,4.0,0.5,60,30,0.007178895175457001,0.5554236485358282,0.1335604038651121,0.32021980983907977,0.4929410206243801,0.514712239484556,0.9629613879417486
fixed_k2_h4,7,2.0,4.0,0.5,0.8894116961015127,1,0.057817987370360216,2.0,4.0,0.5,60,30,0.006615987978875637,0.4785963284681948,0.1218546178583318,0.30651477432248564,0.4325627053698116,0.37001963100487945,0.8401121868016668
fixed_k2_h4,8,2.0,4.0,0.5,0.9400970229259538,1,0.031077889887081833,2.0,4.0,0.5,60,30,0.006599084474146366,0.4984471583426752,0.11267198050281668,0.30068273131443846,0.41378913657663186,0.6263985308456896,0.8929365609822982
fixed_k2_h4,9,2.0,4.0,0.5,0.9951828598583925,1,0.002479094733218705,2.0,4.0,0.5,60,30,0.006940040737390518,0.4809832898345043,0.11964196824910023,0.3123905214880499,0.3837271213757078,0.3784337615632525,0.9000276688170389
fixed_k2_h4,10,2.0,4.0,0.5,0.9431652413032413,1,0.029472600168162808,2.0,4.0,0.5,60,30,0.006492764689028263,0.5362919035881396,0.12678463615269567,0.3178878610383569,0.42696080967385996,0.37986743145109453,0.8412892578069873
