step,pusher_x,pusher_y,obj_x,obj_y,goal_x,goal_y,obj_goal_dist,pusher_obj_dist,contact,progress,phase,seed,method,k,h,local_chunk_step,convergence_signal,action_x,action_y,final_score,success
71,0.3541356570442589,0.3097852833366571,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.11724444337160428,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.11250220872181688,-0.22529643390940524,0.5441098536361609,0.9816262707472116,1
72,0.3677925636044822,0.30091387610799814,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.11311213744127184,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.07962339022678266,0.3034868124494058,-0.19714238285908867,0.9816262707472116,1
73,0.3742541373343853,0.30623102763966314,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.10480764566178777,0.0,0.0,contact,0,fixed_k2_h1,2,1,0,0.10653565946158594,0.14359052733117939,0.11815892292588875,0.9816262707472116,1
74,0.3936845915953922,0.30333194626987964,0.4598624535349388,0.3953659583525078,0.78,0.72,0.45593344871050523,0.11335682066340359,1.0,0.01880070571621506,contact,0,fixed_k2_h1,2,1,0,0.070507803646006,0.5817945860624278,0.1628840302236651,0.9816262707472116,1
75,0.3966905173542708,0.3189633219030755,0.47149803884497854,0.40607046090840054,0.78,0.72,0.4401422673985747,0.1148208123001911,0.0,0.015791181311930524,free,0,fixed_k2_h1,2,1,0,0.0977264780016669,0.0667983501973019,0.3473639029599086,0.9816262707472116,1
76,0.4218232100779581,0.32509261587059285,0.5005559684858983,0.43373109289567,0.78,0.72,0.4000485644563192,0.13416842376972052,1.0,0.040093702942255505,contact,0,fixed_k2_h1,2,1,0,0.0338797113476612,0.7339597361753113,0.42222673381365333,0.9816262707472116,1
77,0.3942324144241184,0.3386709665760155,0.524964629384271,0.4569660237649764,0.78,0.72,0.36637400688246047,0.1763083451902578,0.0,0.03367455757385873,free,0,fixed_k2_h1,2,1,0,0.17069210815910552,-0.6131287923075485,0.30174112678716924,0.9816262707472116,1
78,0.4176637710363348,0.3351259974529087,0.545467904538904,0.4764833656951938,0.78,0.72,0.33809119329629594,0.19056705406949945,0.0,0.028282813586164524,free,0,fixed_k2_h1,2,1,0,0.06011249836444729,0.5206968136048086,-0.07877709162459476,0.9816262707472116,1
79,0.42249718047473606,0.3596381902992649,0.5626906556687957,0.49287793291657633,0.78,0.72,0.3143370555469162,0.1934089953950302,0.0,0.023754137749379733,free,0,fixed_k2_h1,2,1,0,0.10833495170667495,0.10740909863113984,0.5447153965856929,0.9816262707472116,1
80,0.44765589082958235,0.33952703841139137,0.5771577666179047,0.5066493693825377,0.78,0.72,0.2943865880577871,0.21142518615794914,0.0,0.019950467489129098,free,0,fixed_k2_h1,2,1,0,0.12881521139645863,0.5590824523299176,-0.4469144863971904,0.9816262707472116,1
